                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     45,                 1.3397,                 1.3279,                 1.6531,                0.71502,                0.70063,                0.73953,                 0.3989,                  1.577,                 1.2083,                 1.9779,              0.0091288,              0.0091288,              0.0091288
                     46,                  1.336,                 1.3426,                 1.6474,                0.71479,                0.68302,                0.72895,                0.39312,                 1.5911,                 1.2562,                  1.974,               0.009109,               0.009109,               0.009109
                     47,                 1.3134,                 1.3221,                 1.6305,                0.70788,                0.69811,                0.72566,                 0.3959,                 1.6432,                 1.2039,                 2.0473,              0.0090892,              0.0090892,              0.0090892
                     48,                 1.3169,                 1.3098,                 1.6271,                0.72183,                0.67567,                0.73989,                0.39305,                  1.583,                 1.2788,                 1.9852,              0.0090694,              0.0090694,              0.0090694
                     49,                 1.3188,                 1.3113,                 1.6398,                0.71207,                0.68127,                0.74602,                0.38484,                 1.6435,                 1.2299,                 2.0422,              0.0090496,              0.0090496,              0.0090496
                     50,                 1.3059,                 1.3082,                 1.6298,                 0.7333,                0.72264,                0.75023,                0.41434,                 1.5575,                 1.2477,                 1.9552,              0.0090298,              0.0090298,              0.0090298
                     51,                 1.3308,                 1.3213,                 1.6337,                0.68747,                0.69057,                 0.7372,                0.39437,                 1.6143,                 1.2308,                 1.9838,                0.00901,                0.00901,                0.00901
                     52,                 1.3068,                 1.2966,                 1.6128,                0.72951,                0.66792,                0.73726,                0.40368,                 1.6056,                 1.2324,                 1.9933,              0.0089902,              0.0089902,              0.0089902
                     53,                 1.3293,                 1.2908,                 1.6344,                0.66296,                0.69245,                0.72528,                 0.3863,                 1.5879,                 1.2424,                 2.0046,              0.0089704,              0.0089704,              0.0089704
                     54,                 1.3038,                 1.2737,                 1.6198,                0.70905,                    0.7,                0.74361,                 0.3938,                 1.6131,                 1.2138,                 2.0214,              0.0089506,              0.0089506,              0.0089506
                     55,                 1.3138,                 1.2664,                 1.6257,                0.75975,                0.66415,                0.74276,                0.41385,                 1.6165,                 1.2116,                 2.0007,              0.0089308,              0.0089308,              0.0089308
                     56,                 1.2938,                 1.2858,                 1.6054,                0.69989,                0.68491,                0.72536,                 0.3819,                 1.6331,                 1.2674,                 1.9951,               0.008911,               0.008911,               0.008911
                     57,                 1.3066,                 1.2739,                 1.6188,                0.73023,                0.63774,                0.71325,                0.38658,                 1.6035,                 1.2602,                 2.0272,              0.0088912,              0.0088912,              0.0088912
                     58,                 1.2858,                 1.2784,                 1.6053,                0.72081,                0.67547,                0.74402,                0.41197,                 1.5791,                 1.2179,                 1.9935,              0.0088714,              0.0088714,              0.0088714
                     59,                  1.304,                 1.2848,                 1.6218,                0.74148,                0.70891,                0.76595,                 0.4204,                 1.6116,                 1.1444,                 2.0037,              0.0088516,              0.0088516,              0.0088516
                     60,                 1.2868,                 1.2679,                 1.6034,                0.74696,                0.66792,                0.74368,                0.39926,                 1.6312,                 1.1977,                  2.025,              0.0088318,              0.0088318,              0.0088318
                     61,                 1.2931,                 1.2837,                 1.6162,                0.72412,                0.67353,                0.73912,                0.39133,                 1.6324,                 1.2486,                 2.0186,               0.008812,               0.008812,               0.008812
                     62,                 1.2663,                 1.2457,                 1.5856,                0.70663,                    0.7,                0.74435,                0.40728,                  1.612,                 1.2384,                  2.008,              0.0087922,              0.0087922,              0.0087922
                     63,                 1.2959,                 1.2425,                 1.6011,                0.73425,                0.68868,                0.74572,                0.39852,                 1.5992,                 1.2158,                 1.9967,              0.0087724,              0.0087724,              0.0087724
                     64,                  1.298,                   1.23,                 1.5945,                0.77757,                    0.7,                0.77663,                0.42524,                  1.576,                 1.1661,                 1.9905,              0.0087526,              0.0087526,              0.0087526
                     65,                 1.2786,                 1.2436,                 1.5941,                0.74661,                 0.6717,                 0.7531,                0.41186,                 1.5798,                 1.2155,                 1.9937,              0.0087328,              0.0087328,              0.0087328
                     66,                   1.26,                 1.2281,                 1.5893,                0.76536,                0.68316,                0.75132,                0.40689,                 1.6046,                 1.1946,                 2.0263,               0.008713,               0.008713,               0.008713
                     67,                 1.2839,                  1.233,                 1.5941,                0.74223,                0.69434,                0.75184,                 0.4124,                 1.5866,                 1.2055,                 1.9822,              0.0086932,              0.0086932,              0.0086932
                     68,                 1.2652,                 1.2635,                 1.5856,                0.76865,                0.68679,                0.74194,                0.40529,                 1.6011,                 1.2104,                 1.9904,              0.0086734,              0.0086734,              0.0086734
                     69,                 1.2524,                 1.2159,                 1.5722,                0.75287,                0.68401,                0.76282,                0.40985,                 1.5782,                 1.1815,                 1.9826,              0.0086536,              0.0086536,              0.0086536
                     70,                 1.2691,                 1.2126,                 1.6009,                0.75349,                0.65746,                0.76037,                0.41398,                 1.5894,                 1.2002,                 1.9928,              0.0086338,              0.0086338,              0.0086338
                     71,                 1.2558,                  1.201,                 1.5879,                0.76628,                0.70189,                0.76884,                0.41239,                 1.6131,                 1.1643,                 2.0229,               0.008614,               0.008614,               0.008614
                     72,                 1.2627,                 1.2225,                 1.5867,                0.74194,                 0.6998,                 0.7392,                0.39282,                 1.6025,                 1.2361,                  1.987,              0.0085942,              0.0085942,              0.0085942
                     73,                 1.2627,                 1.2089,                 1.5819,                0.71355,                0.68491,                0.73918,                0.39434,                 1.6311,                 1.1897,                 2.0162,              0.0085744,              0.0085744,              0.0085744
                     74,                 1.2672,                 1.2343,                 1.5952,                0.73816,                0.71321,                0.75486,                0.40601,                 1.5854,                 1.2049,                 1.9861,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.2725,                 1.2226,                 1.5887,                0.74719,                0.67736,                0.75773,                0.41936,                 1.5933,                 1.1814,                 1.9965,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.2597,                 1.2197,                 1.5824,                 0.7216,                    0.7,                0.75044,                0.41633,                 1.5769,                 1.1746,                 1.9929,               0.008515,               0.008515,               0.008515
                     77,                 1.2375,                 1.1832,                 1.5712,                0.71211,                0.69434,                0.74735,                0.40484,                 1.5885,                  1.226,                   1.99,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.2541,                 1.2109,                 1.5819,                 0.7438,                0.68491,                0.75318,                0.41629,                  1.596,                 1.1969,                 2.0274,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.2558,                 1.1927,                   1.58,                0.74945,                0.68868,                0.75752,                0.40674,                 1.6084,                 1.1951,                 2.0128,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.2376,                 1.1686,                 1.5652,                0.74842,                 0.6717,                0.74761,                0.40867,                 1.5833,                 1.1989,                  1.999,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.2443,                 1.1914,                 1.5646,                0.74609,                0.70412,                0.76483,                0.41678,                 1.5943,                 1.1819,                 2.0008,               0.008416,               0.008416,               0.008416
                     82,                 1.2535,                  1.195,                 1.5724,                0.76564,                0.66792,                0.76533,                0.41072,                 1.6476,                 1.1526,                 2.0589,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.2229,                 1.1384,                 1.5524,                0.73531,                0.70377,                 0.7611,                0.41635,                 1.6217,                 1.1505,                 2.0246,              0.0083764,              0.0083764,              0.0083764
                     84,                  1.225,                 1.1783,                 1.5536,                 0.7395,                0.69629,                0.77673,                0.42159,                 1.6065,                 1.1588,                 1.9994,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.2391,                 1.1683,                 1.5601,                0.74089,                0.69056,                0.75819,                0.42551,                 1.5956,                 1.1676,                 1.9996,              0.0083368,              0.0083368,              0.0083368
                     86,                  1.221,                 1.1764,                 1.5544,                0.75082,                0.69434,                0.76454,                 0.4183,                 1.6167,                 1.1881,                 1.9932,               0.008317,               0.008317,               0.008317
                     87,                 1.2237,                 1.1591,                 1.5626,                0.75311,                0.70377,                0.75828,                0.41498,                 1.5919,                 1.1574,                 2.0156,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.2111,                 1.1506,                 1.5481,                0.78283,                0.71321,                 0.7822,                0.42823,                 1.6075,                 1.1876,                 2.0076,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.2242,                 1.1551,                 1.5474,                 0.7406,                0.70566,                0.77008,                0.42649,                 1.6055,                 1.1106,                 1.9963,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.2261,                  1.153,                 1.5383,                 0.7425,                 0.7127,                0.76518,                0.42877,                 1.5792,                  1.165,                  1.976,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.2172,                  1.123,                 1.5443,                0.73461,                0.68491,                0.74567,                0.42006,                 1.5955,                 1.1431,                      2,               0.008218,               0.008218,               0.008218
                     92,                 1.2197,                 1.1541,                   1.55,                0.72026,                0.71698,                0.75396,                0.41817,                 1.5814,                 1.1431,                 1.9852,              0.0081982,              0.0081982,              0.0081982
                     93,                  1.219,                 1.1478,                  1.542,                0.77146,                0.69434,                 0.7651,                0.42879,                 1.5291,                 1.1423,                 1.9441,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.2125,                 1.1378,                 1.5339,                0.72186,                0.73019,                0.76653,                0.41534,                 1.5849,                 1.1796,                 1.9874,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.2111,                 1.1438,                  1.544,                0.76189,                0.70377,                0.77346,                0.41781,                 1.6087,                 1.1407,                  2.026,              0.0081388,              0.0081388,              0.0081388
                     96,                  1.196,                 1.1064,                 1.5406,                0.71265,                0.72453,                0.76547,                 0.4183,                  1.603,                 1.1193,                 2.0053,               0.008119,               0.008119,               0.008119
                     97,                 1.2057,                 1.1255,                 1.5336,                0.75313,                0.68679,                0.76549,                0.42617,                 1.5921,                 1.1285,                 2.0141,              0.0080992,              0.0080992,              0.0080992
                     98,                 1.2068,                  1.108,                 1.5324,                0.75406,                0.71321,                0.76634,                 0.4248,                 1.5918,                 1.1106,                 1.9854,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.2047,                 1.1145,                 1.5288,                0.72697,                0.71338,                0.76591,                0.42095,                 1.6078,                 1.1785,                 2.0187,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.1937,                 1.1064,                 1.5298,                0.75558,                0.74528,                0.77526,                0.42493,                 1.5772,                 1.1628,                 1.9975,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.2024,                  1.114,                 1.5309,                0.73107,                0.71808,                 0.7533,                0.41223,                 1.6175,                 1.1646,                 2.0101,                0.00802,                0.00802,                0.00802
                    102,                 1.2022,                 1.1249,                 1.5316,                0.71693,                0.73774,                0.76331,                0.41486,                 1.5725,                 1.1935,                 1.9817,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.1926,                 1.1087,                 1.5331,                0.73261,                0.72075,                 0.7661,                0.42123,                 1.5913,                 1.1356,                  2.015,              0.0079804,              0.0079804,              0.0079804
                    104,                  1.183,                 1.0768,                 1.5171,                0.75327,                0.68679,                 0.7544,                0.41861,                 1.5763,                 1.1439,                 2.0214,              0.0079606,              0.0079606,              0.0079606
                    105,                 1.1873,                 1.0918,                 1.5214,                0.74419,                0.70566,                0.76011,                0.42398,                 1.5841,                 1.1237,                 2.0227,              0.0079408,              0.0079408,              0.0079408
                    106,                 1.1913,                 1.0982,                 1.5221,                0.76816,                0.70642,                0.78067,                0.42801,                 1.6199,                 1.1337,                 2.0231,               0.007921,               0.007921,               0.007921
                    107,                  1.176,                 1.0835,                 1.5015,                 0.7531,                0.71887,                0.78021,                0.43034,                 1.6053,                 1.1355,                 2.0286,              0.0079012,              0.0079012,              0.0079012
                    108,                 1.1798,                 1.0856,                 1.5213,                0.76626,                0.71698,                0.77433,                0.42768,                 1.5885,                 1.1274,                 1.9872,              0.0078814,              0.0078814,              0.0078814
                    109,                 1.1708,                   1.08,                 1.5158,                0.74111,                0.72264,                0.76779,                0.42475,                 1.5825,                 1.1009,                 2.0002,              0.0078616,              0.0078616,              0.0078616
                    110,                  1.185,                  1.083,                 1.5295,                0.71556,                 0.7452,                0.77402,                0.41315,                 1.6417,                 1.1102,                 2.0712,              0.0078418,              0.0078418,              0.0078418
                    111,                 1.1695,                  1.052,                 1.5035,                0.73746,                0.72077,                0.76911,                0.41762,                 1.6485,                 1.1189,                 2.0792,               0.007822,               0.007822,               0.007822
                    112,                 1.1678,                 1.0819,                 1.5033,                0.73797,                0.72268,                0.76715,                0.42447,                 1.5956,                 1.0835,                 2.0049,              0.0078022,              0.0078022,              0.0078022
                    113,                 1.1704,                 1.0685,                 1.5018,                0.76092,                0.71459,                0.77462,                0.42751,                 1.6276,                 1.0754,                 2.0561,              0.0077824,              0.0077824,              0.0077824
                    114,                 1.1707,                 1.0692,                 1.5006,                0.76689,                 0.7014,                 0.7895,                0.42687,                 1.6307,                 1.0866,                 2.0392,              0.0077626,              0.0077626,              0.0077626
                    115,                 1.1679,                 1.0731,                 1.5036,                0.74064,                0.72738,                0.78064,                  0.433,                 1.6072,                 1.0764,                 2.0188,              0.0077428,              0.0077428,              0.0077428
                    116,                 1.1413,                 1.0422,                 1.4851,                0.77192,                0.71698,                0.77876,                0.43338,                 1.6287,                 1.0746,                 2.0698,               0.007723,               0.007723,               0.007723
                    117,                 1.1746,                 1.0717,                 1.5103,                0.77129,                 0.7063,                0.78454,                 0.4297,                 1.5985,                 1.1022,                 2.0022,              0.0077032,              0.0077032,              0.0077032
                    118,                 1.1435,                 1.0549,                  1.486,                0.79512,                 0.7176,                0.79152,                0.43611,                 1.6007,                 1.1019,                 2.0161,              0.0076834,              0.0076834,              0.0076834
                    119,                 1.1546,                 1.0595,                 1.5086,                   0.77,                0.73274,                0.77641,                0.43659,                 1.5815,                 1.1136,                 1.9943,              0.0076636,              0.0076636,              0.0076636
                    120,                 1.1533,                 1.0586,                 1.4913,                0.77745,                0.71186,                0.77546,                0.43675,                 1.5653,                  1.122,                 1.9881,              0.0076438,              0.0076438,              0.0076438
                    121,                 1.1403,                 1.0499,                 1.4905,                0.76583,                0.73019,                0.79138,                0.43083,                 1.6156,                 1.0808,                 2.0464,               0.007624,               0.007624,               0.007624
                    122,                 1.1302,                 1.0254,                 1.4766,                0.74122,                0.73019,                0.76441,                0.42568,                 1.5607,                  1.143,                 1.9918,              0.0076042,              0.0076042,              0.0076042
                    123,                 1.1469,                  1.039,                 1.4873,                0.72404,                0.74751,                0.78185,                0.43378,                 1.5915,                 1.1049,                  2.007,              0.0075844,              0.0075844,              0.0075844
                    124,                 1.1349,                 1.0323,                 1.4838,                0.76498,                0.70628,                0.76079,                0.41721,                 1.5922,                 1.0873,                  2.016,              0.0075646,              0.0075646,              0.0075646
                    125,                 1.1507,                  1.036,                 1.4904,                0.72779,                0.73148,                0.76473,                 0.4184,                  1.624,                 1.0838,                 2.0549,              0.0075448,              0.0075448,              0.0075448
                    126,                 1.1374,                  1.044,                 1.4759,                0.75902,                0.71509,                0.77909,                0.42449,                 1.5831,                 1.1026,                 2.0054,               0.007525,               0.007525,               0.007525
                    127,                 1.1308,                 1.0291,                 1.4773,                0.76105,                0.70912,                 0.7686,                0.41702,                 1.6279,                 1.0952,                 2.0417,              0.0075052,              0.0075052,              0.0075052
                    128,                  1.126,                 1.0152,                 1.4712,                0.74962,                   0.74,                0.75492,                0.42039,                 1.6474,                 1.0822,                 2.0776,              0.0074854,              0.0074854,              0.0074854
                    129,                 1.1293,                 1.0245,                 1.4722,                0.74472,                0.71006,                0.76091,                0.42168,                 1.6311,                 1.1062,                 2.0719,              0.0074656,              0.0074656,              0.0074656
                    130,                 1.1211,                 1.0339,                 1.4737,                0.72242,                 0.7513,                 0.7675,                0.42217,                 1.6153,                 1.0991,                 2.0435,              0.0074458,              0.0074458,              0.0074458
                    131,                  1.109,                 1.0141,                 1.4606,                0.72927,                0.72173,                0.76791,                0.42187,                 1.6183,                 1.0803,                 2.0431,               0.007426,               0.007426,               0.007426
                    132,                  1.132,                 1.0209,                 1.4714,                0.77881,                0.69245,                0.76935,                 0.4289,                 1.6191,                 1.1413,                 2.0649,              0.0074062,              0.0074062,              0.0074062
                    133,                 1.1209,                0.99105,                 1.4653,                0.77181,                0.69562,                0.76151,                0.42099,                 1.6191,                 1.1089,                 2.0547,              0.0073864,              0.0073864,              0.0073864
                    134,                 1.1025,                0.99593,                 1.4515,                0.77766,                0.69951,                0.76931,                 0.4265,                 1.6354,                 1.1043,                 2.0554,              0.0073666,              0.0073666,              0.0073666
                    135,                 1.1198,                 1.0139,                 1.4663,                0.79388,                 0.7049,                0.77251,                0.42166,                 1.6123,                 1.0693,                 2.0295,              0.0073468,              0.0073468,              0.0073468
                    136,                 1.1179,                 1.0018,                 1.4602,                0.73802,                    0.7,                0.75393,                0.42562,                 1.5938,                 1.1159,                 2.0249,               0.007327,               0.007327,               0.007327
                    137,                 1.1066,                0.99723,                 1.4512,                0.77538,                    0.7,                0.74867,                0.41165,                 1.6432,                 1.0786,                 2.0771,              0.0073072,              0.0073072,              0.0073072
                    138,                 1.1129,                0.99234,                 1.4648,                 0.7386,                0.75094,                0.76317,                0.42122,                 1.6258,                 1.0788,                  2.072,              0.0072874,              0.0072874,              0.0072874
                    139,                 1.1075,                 0.9788,                 1.4479,                0.77459,                0.71887,                  0.771,                0.42151,                 1.6176,                 1.0792,                 2.0646,              0.0072676,              0.0072676,              0.0072676
                    140,                 1.1023,                0.96588,                 1.4494,                0.77089,                    0.7,                0.77045,                0.42855,                 1.6292,                 1.0611,                 2.0914,              0.0072478,              0.0072478,              0.0072478
                    141,                 1.1111,                0.97814,                 1.4562,                0.71539,                0.76226,                0.77081,                0.42907,                 1.6303,                 1.0546,                 2.0869,               0.007228,               0.007228,               0.007228
                    142,                 1.1006,                0.99738,                 1.4478,                0.73052,                0.75849,                0.77152,                0.43012,                 1.6309,                  1.081,                 2.0893,              0.0072082,              0.0072082,              0.0072082
                    143,                  1.105,                0.96295,                  1.453,                0.75835,                0.72642,                0.76364,                0.43071,                  1.641,                 1.0564,                 2.0827,              0.0071884,              0.0071884,              0.0071884
                    144,                 1.0839,                0.96048,                 1.4345,                0.78202,                0.70755,                0.75932,                0.41997,                 1.6635,                 1.0851,                 2.1204,              0.0071686,              0.0071686,              0.0071686
                    145,                 1.0896,                0.95582,                 1.4357,                0.76863,                0.72075,                0.76016,                0.41206,                 1.6649,                  1.068,                 2.1082,              0.0071488,              0.0071488,              0.0071488
                    146,                  1.094,                0.96581,                 1.4483,                0.76809,                0.71698,                0.76411,                 0.4134,                 1.6541,                 1.0622,                 2.0958,               0.007129,               0.007129,               0.007129
                    147,                 1.0846,                0.95818,                   1.44,                0.79918,                0.71698,                0.77373,                0.43142,                 1.6198,                 1.0533,                 2.0645,              0.0071092,              0.0071092,              0.0071092
                    148,                 1.0861,                0.97734,                 1.4394,                0.79139,                0.71579,                0.77491,                0.42538,                 1.6239,                 1.0955,                 2.0683,              0.0070894,              0.0070894,              0.0070894
                    149,                  1.074,                0.94394,                 1.4271,                0.74286,                0.73019,                0.76367,                0.42206,                 1.6492,                 1.0652,                 2.1005,              0.0070696,              0.0070696,              0.0070696
