                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                 1.2069,                0.93139,                 1.2558,                0.75446,                0.68855,                0.74835,                0.44066,                 1.4308,                 1.0853,                 1.4189,              0.0085744,              0.0085744,              0.0085744
                     74,                  1.215,                0.94257,                 1.2615,                0.75336,                0.69098,                 0.7495,                 0.4406,                 1.4306,                 1.0861,                 1.4178,              0.0085546,              0.0085546,              0.0085546
                     75,                 1.2096,                0.93044,                 1.2558,                0.75264,                 0.6913,                0.74996,                0.44098,                 1.4297,                 1.0862,                 1.4177,              0.0085348,              0.0085348,              0.0085348
                     76,                 1.1974,                0.91761,                 1.2502,                0.75075,                0.69081,                0.75011,                0.44184,                 1.4289,                 1.0835,                 1.4172,               0.008515,               0.008515,               0.008515
                     77,                 1.1962,                0.91876,                 1.2541,                0.75177,                0.69115,                0.75003,                0.44157,                 1.4285,                 1.0851,                 1.4175,              0.0084952,              0.0084952,              0.0084952
                     78,                 1.2063,                0.92231,                 1.2574,                0.74754,                0.69487,                0.75005,                 0.4418,                 1.4275,                 1.0848,                  1.418,              0.0084754,              0.0084754,              0.0084754
                     79,                 1.2044,                 0.9173,                 1.2531,                0.75599,                0.68937,                 0.7505,                0.44138,                 1.4275,                 1.0841,                 1.4181,              0.0084556,              0.0084556,              0.0084556
                     80,                 1.1978,                0.91782,                 1.2487,                0.74985,                0.69499,                0.74969,                0.44183,                  1.428,                 1.0839,                 1.4186,              0.0084358,              0.0084358,              0.0084358
                     81,                 1.1964,                0.91386,                 1.2517,                0.74886,                0.69618,                0.74957,                0.44191,                 1.4284,                 1.0826,                 1.4193,               0.008416,               0.008416,               0.008416
                     82,                 1.1928,                 0.9057,                 1.2491,                0.74955,                0.69832,                0.75009,                0.44216,                 1.4281,                 1.0819,                  1.419,              0.0083962,              0.0083962,              0.0083962
                     83,                 1.1908,                0.90844,                 1.2443,                0.75036,                0.69812,                0.74986,                0.44237,                 1.4277,                 1.0803,                 1.4185,              0.0083764,              0.0083764,              0.0083764
                     84,                 1.1892,                0.90369,                  1.245,                0.75312,                0.69547,                0.75014,                0.44265,                 1.4278,                 1.0815,                 1.4197,              0.0083566,              0.0083566,              0.0083566
                     85,                 1.1858,                0.89865,                 1.2396,                 0.7521,                0.69491,                0.75011,                0.44248,                 1.4289,                 1.0805,                 1.4203,              0.0083368,              0.0083368,              0.0083368
                     86,                 1.1866,                0.89604,                 1.2412,                0.75361,                 0.6943,                 0.7506,                0.44212,                 1.4292,                 1.0802,                 1.4205,               0.008317,               0.008317,               0.008317
                     87,                 1.1856,                0.89908,                 1.2368,                 0.7549,                0.69371,                0.75087,                0.44244,                 1.4289,                   1.08,                 1.4197,              0.0082972,              0.0082972,              0.0082972
                     88,                 1.1792,                0.88999,                 1.2321,                0.75162,                  0.696,                0.75083,                0.44185,                 1.4287,                   1.08,                 1.4197,              0.0082774,              0.0082774,              0.0082774
                     89,                 1.1787,                0.88191,                 1.2336,                0.75398,                 0.6961,                0.75072,                0.44243,                 1.4295,                 1.0791,                 1.4203,              0.0082576,              0.0082576,              0.0082576
                     90,                 1.1784,                0.88156,                 1.2343,                0.75254,                0.69602,                0.75085,                0.44276,                 1.4291,                 1.0792,                 1.4195,              0.0082378,              0.0082378,              0.0082378
                     91,                 1.1774,                0.89118,                 1.2328,                0.75314,                0.69567,                0.75088,                0.44263,                 1.4288,                 1.0797,                 1.4193,               0.008218,               0.008218,               0.008218
                     92,                  1.175,                0.87469,                 1.2325,                0.75205,                0.69734,                0.75142,                0.44317,                 1.4277,                 1.0787,                 1.4184,              0.0081982,              0.0081982,              0.0081982
                     93,                 1.1684,                0.88147,                 1.2293,                0.75438,                0.69526,                0.75148,                0.44346,                 1.4282,                 1.0776,                 1.4191,              0.0081784,              0.0081784,              0.0081784
                     94,                 1.1685,                0.87802,                 1.2281,                0.75177,                0.69779,                0.75139,                0.44368,                 1.4285,                 1.0776,                 1.4194,              0.0081586,              0.0081586,              0.0081586
                     95,                 1.1645,                 0.8708,                 1.2261,                 0.7539,                0.69693,                0.75208,                0.44348,                 1.4286,                 1.0772,                 1.4191,              0.0081388,              0.0081388,              0.0081388
                     96,                 1.1698,                0.88148,                 1.2292,                0.75246,                0.69907,                0.75237,                0.44342,                 1.4285,                 1.0773,                  1.419,               0.008119,               0.008119,               0.008119
                     97,                  1.167,                0.86665,                 1.2284,                0.75262,                0.70031,                0.75252,                0.44381,                 1.4287,                 1.0763,                  1.419,              0.0080992,              0.0080992,              0.0080992
                     98,                  1.157,                0.86318,                 1.2158,                0.75869,                0.69639,                0.75201,                0.44378,                 1.4287,                 1.0762,                 1.4188,              0.0080794,              0.0080794,              0.0080794
                     99,                 1.1614,                0.85872,                 1.2256,                0.76061,                0.69687,                0.75192,                 0.4436,                 1.4287,                 1.0762,                 1.4185,              0.0080596,              0.0080596,              0.0080596
                    100,                 1.1607,                0.85724,                 1.2219,                0.76017,                0.69521,                0.75272,                0.44372,                 1.4294,                 1.0754,                  1.419,              0.0080398,              0.0080398,              0.0080398
                    101,                 1.1584,                0.85754,                 1.2175,                0.75903,                0.69696,                0.75191,                0.44375,                 1.4303,                 1.0752,                 1.4195,                0.00802,                0.00802,                0.00802
                    102,                 1.1594,                0.86211,                 1.2208,                0.75802,                0.69674,                0.75224,                0.44416,                 1.4302,                 1.0747,                 1.4192,              0.0080002,              0.0080002,              0.0080002
                    103,                 1.1583,                0.85223,                 1.2149,                0.75675,                0.69722,                0.75242,                0.44376,                 1.4302,                 1.0751,                 1.4191,              0.0079804,              0.0079804,              0.0079804
